aoa,cd
20.4833,-0.12877675
19.4584,-0.1042035
18.6578,-0.08864725
17.7925,-0.0644685
16.8325,-0.0571315
15.9367,-0.05266525
14.7205,-0.0436985
13.6009,-0.04335175
12.737,-0.041758
11.8091,-0.0409895
10.7852,-0.041459
9.76146,-0.04357175
7.74517,-0.04286575
5.72835,-0.0405155
3.93544,-0.039796
1.62964,-0.0370505
-0.164545,-0.03098675
-2.05482,-0.02780525
-4.07361,-0.02463028
-6.34915,-0.02146913
-8.11248,-0.01704483
-10.2604,-0.0155202
-12.1211,-0.00780943
-13.3402,-0.00335248
-14.2717,0.00770298
-15.1403,0.02658
-15.8163,0.04423575
