aoa,cl
22.3685,0.955884
20.3525,1.03911
19.4883,1.09138
18.4323,1.21237
17.5036,1.24012
16.3503,1.25148
15.2287,1.24322
14.2028,1.19567
13.3691,1.16777
12.4069,1.11694
11.1557,1.04151
10.2572,0.987384
9.23008,0.921772
8.13853,0.844673
6.30758,0.646238
5.21533,0.560894
4.15504,0.487007
3.54412,0.391872
3.02987,0.35246
2.03318,0.247405
1.10055,0.140703
-0.057367,0.0191831
-0.089523,0.0175376
-1.05492,-0.122005
-2.05236,-0.217312
-2.85717,-0.33391
-3.4689,-0.422603
-4.1769,-0.462132
-4.59543,-0.503235
-4.8853,-0.547589
-6.20545,-0.657821
-6.91409,-0.735107
-8.4278,-0.822471
-10.039,-0.967323
-12.2941,-0.967983
