cl,cd
1.26158,0.0254806
1.20359,0.017828
1.131,0.0156169
1.0521,0.0137828
0.968451,0.0121617
0.868938,0.0111139
0.65718,0.00937862
0.556139,0.00869104
0.44535,0.00739755
0.396898,0.00554732
0.340654,0.0046632
0.233304,0.00445033
0.117962,0.00436843
0.010633,0.0043684
-0.111092,0.0045485
-0.228084,0.00443383
-0.33698,0.00482688
-0.39289,0.00580964
-0.439115,0.00720209
-0.53981,0.00884065
-0.656735,0.00951276
-0.853714,0.0111195
-0.954589,0.0122017
-1.03937,0.0137432
-1.12577,0.0152523
-1.19126,0.0172536
-1.25842,0.0189109
